18.9	13.8	11.8	14.8	19.5	18.4	17.6	17.0	17.6
5.4	5.1	6.0	6.4	5.7	7.6	6.9	7.0	9.5
5.7	8.0	9.6	6.5	5.3	6.3	7.4	8.1	9.1
8.5	11.3	11.3	10.3	5.8	6.1	7.6	7.8	7.2
16.5	16.3	14.7	11.9	6.6	7.8	10.4	9.1	7.1
16.0	13.7	10.5	11.8	6.8	9.8	9.4	9.2	8.3
27.0	23.0	21.0	23.1	20.7	18.9	18.5	20.5	25.9
27.0	21.0	20.0	24.7	24.8	25.4	23.3	24.8	21.2
22.7	19.8	23.0	29.6	21.1	24.9	19.6	21.5	18.8
16.4	21.7	28.4	26.4	17.4	16.6	20.8	19.7	19.9
19.5	18.6	23.8	18.1	16.6	18.1	25.9	34.0	20.2
21.8	17.2	18.0	18.0	20.5	17.5	15.6	18.7	21.0
19.5	21.6	19.5	18.0	14.3	20.0	14.4	16.0	20.0
19.3	17.1	18.2	16.3	16.0	18.4	18.9	18.5	21.0
34.6	30.0	27.8	24.0	28.0	27.0	24.2	30.0	38.0
18.1	18.0	16.5	16.8	14.6	14.0	16.6	17.6	20.0
17.0	15.3	15.4	16.6	16.6	14.1	15.9	18.5	20.0
16.0	15.0	16.0	16.0	16.4	14.6	17.8	23.9	24.4
20.0	12.9	16.1	16.8	15.3	17.0	14.6	16.0	17.2
17.0	14.7	20.1	19.5	21.3	14.6	18.0	18.0	17.3
18.0	15.9	15.6	12.7	19.1	18.1	18.7	25.4	19.8
21.4	16.5	16.1	17.0	16.3	15.2	17.8	18.1	23.3
16.7	13.2	13.0	15.0	19.1	16.9	14.0	16.1	14.2
23.4	16.8	13.3	15.3	13.9	16.3	18.3	18.3	19.6
18.7	17.0	17.0	19.1	16.0	16.1	14.7	12.4	21.8
18.0	19.0	16.1	18.7	14.7	16.0	14.2	17.0	19.8
24.4	14.0	16.5	24.0	14.6	19.1	16.9	18.2	19.6
23.6	18.2	19.5	18.7	14.9	17.4	16.0	17.1	25.2
20.5	18.0	22.3	17.0	19.5	19.3	18.2	19.0	24.8
